model,description,AIC,BIC,logLik,df,AICc,df_ratio,obs_per_param,delta_AIC,delta_AICc,delta_BIC,weight_AIC,weight_AICc,weight_BIC,baseline_type,model_category,overfitting_risk
M31,Interaction: wind_max_gust × sum_butterflies_direct_sun (smooth),634.1891372235907,656.7868727822423,-308.09456861179535,9,636.3319943664478,0.09574468085106384,10.444444444444445,26.38691230251004,0,0,1.849343530445716e-6,0.5072956870476181,0.484466719801201,Smooth,Interaction only,Low
M23,Interaction: temp_max × wind_max_gust (smooth),637.776887406408,660.3746229650596,-309.888443703204,9,639.9197445492651,0.09574468085106384,10.444444444444445,29.97466248532737,3.587750182817331,3.587750182817331,3.075725256724712e-7,0.08437059592188483,0.08057380911679496,Smooth,Interaction only,Low
M29,Interaction: temp_at_max_count_t_1 × sum_butterflies_direct_sun (smooth),638.6134364424114,661.211172001063,-310.3067182212057,9,640.7562935852685,0.09574468085106384,10.444444444444445,30.811211521330733,4.424299218820693,4.424299218820693,2.024385527484206e-7,0.05553116714701696,0.05303219223293383,Smooth,Interaction only,Low
M19,Interaction: temp_min × sum_butterflies_direct_sun (smooth),638.9653711428612,661.5631067015128,-310.4826855714306,9,641.1082282857183,0.09574468085106384,10.444444444444445,31.163146221780497,4.776233919270453,4.776233919270453,1.6977415385301157e-7,0.04657095591160074,0.04447520218397152,Smooth,Interaction only,Low
M51,Additive + Interaction: wind_max_gust + sum_butterflies_direct_sun + wind_max_gust×sum_butterflies_direct_sun (smooth),637.1729747615951,669.525247568113,-305.58648738079756,13,641.7229747615951,0.13829787234042554,7.230769230769231,29.370749840514463,5.390980395147267,12.738374785870633,4.159925026774343e-7,0.03424716697347253,8.301584824195662e-4,Smooth,Main + Interaction,Low
M45,Additive + Interaction: temp_max + sum_butterflies_direct_sun + temp_max×sum_butterflies_direct_sun (smooth),637.246978229821,669.5992510363388,-305.6234891149105,13,641.796978229821,0.13829787234042554,7.230769230769231,29.44475330874036,5.464983863373163,12.81237825409653,4.008813521402244e-7,0.03300312028446191,8.000025307693725e-4,Smooth,Main + Interaction,Low
M5,Single: temp_max (smooth),640.4958596831615,660.5827357352963,-312.24792984158074,8,642.1899773302204,0.0851063829787234,11.75,32.69363476208082,5.8579829637725425,3.795862953053984,7.898237899613366e-8,0.02711541975913278,0.07261106078696096,Smooth,Single predictor,Low
M67,All temp + all temp interactions (smooth),629.6569643194159,681.1982575407396,-293.82848215970796,21,642.4902976527493,0.22340425531914893,4.476190476190476,21.854739398335255,6.158303286301475,24.41138475849732,1.783061956620036e-5,0.02333472045316266,2.4232549059561667e-6,Smooth,Complex,Moderate
M43,Additive + Interaction: temp_max + wind_max_gust + temp_max×wind_max_gust (smooth),638.1405074206797,670.4927802271975,-306.07025371033984,13,642.6905074206796,0.13829787234042554,7.230769230769231,30.338282499599018,6.358513054231821,13.705907444955187,2.564415871191261e-7,0.02111191378807371,5.117572009636771e-4,Smooth,Main + Interaction,Low
M17,Interaction: temp_min × wind_max_gust (smooth),640.5880735209824,663.185809079634,-311.2940367604912,9,642.7309306638396,0.09574468085106384,10.444444444444445,32.78584859990178,6.398936297391742,6.398936297391742,7.542342159377399e-8,0.02068949107993693,0.01975843700975994,Smooth,Interaction only,Low
