mapping,temperature_c,direct_sun_bi,estimate,standard_error,p_value
lower_bound,10,0,-0.039495270918924213,0.052993089209139435,0.45619473462164106
lower_bound,10,7,-0.22049050691276573,0.0630461185182185,4.8161120872186657e-4
lower_bound,10,20,-0.5566245166156141,0.1319672197622888,2.5904548151548875e-5
lower_bound,15,0,0.02753253143828438,0.03663708611424761,0.4524555716380959
lower_bound,15,7,0.07812409482385185,0.037673692332520076,0.03825102709747283
lower_bound,15,20,0.17207985539704862,0.06717998629818123,0.010505040095665307
lower_bound,20,0,0.09456033379549303,0.07179862820751182,0.18800181505672828
lower_bound,20,7,0.37673869656046943,0.0701404655016334,8.855610029826238e-8
lower_bound,20,20,0.9007842274097115,0.11979133070933118,8.681487313202058e-14
geometric_midpoint,10,0,-0.0571704284108617,0.07763943435420075,0.4616103037434891
geometric_midpoint,10,21,-0.308751278189041,0.09053075330431222,6.631023895022729e-4
geometric_midpoint,10,63,-0.8119129777453995,0.19276995253366336,2.6604335141937763e-5
geometric_midpoint,15,0,0.04261804866654062,0.05363314555600579,0.4269401981605109
geometric_midpoint,15,21,0.11338270977091247,0.054621123925498095,0.03805613967297062
geometric_midpoint,15,63,0.2549120319796563,0.09823822711542086,0.009541745337216434
geometric_midpoint,20,0,0.14240652574394297,0.10508913013545282,0.17555776741045795
geometric_midpoint,20,21,0.535516697730866,0.10212835345259391,1.7638375655972992e-7
geometric_midpoint,20,63,1.3217370417047118,0.17594393607235936,9.16720969330625e-14
arithmetic_midpoint,10,0,-0.06904346800241717,0.09289778620609337,0.4574472353607817
arithmetic_midpoint,10,35,-0.3613957578677721,0.10719989267508939,7.644171585264545e-4
arithmetic_midpoint,10,105,-0.9461003375984816,0.22462999758956556,2.660512448382829e-5
arithmetic_midpoint,15,0,0.05205501450949601,0.06415333270990914,0.4172360839556024
arithmetic_midpoint,15,35,0.1351111731338701,0.06503954204713606,0.03791126218244815
arithmetic_midpoint,15,105,0.3012234903826183,0.11487780563025608,0.00881332595227764
arithmetic_midpoint,20,0,0.1731534970214092,0.12567706639586324,0.16844983839930647
arithmetic_midpoint,20,35,0.6316181041355122,0.12185214878592589,2.4269703101322234e-7
arithmetic_midpoint,20,105,1.5485473183637182,0.2063399430262231,9.685263860558642e-14
upper_bound,10,0,-0.08424287990470408,0.11309586240250619,0.45644291873703025
upper_bound,10,63,-0.43952245010755064,0.13042428143713025,7.679788236598019e-4
upper_bound,10,189,-1.1500815905132438,0.27299057801590826,2.6479219593958162e-5
upper_bound,15,0,0.06329827495459511,0.07810176363668148,0.4177853275990344
upper_bound,15,63,0.16454581989870332,0.07916812272462596,0.037812971302127074
upper_bound,15,189,0.36704090978691983,0.13970603041536261,0.0086824067179323
upper_bound,20,0,0.21083942981389425,0.15299813203650428,0.16836121766506296
upper_bound,20,63,0.7686140899049572,0.1483336753537801,2.450461401423077e-7
upper_bound,20,189,1.8841634100870825,0.25103647879890817,9.63517070830756e-14
