window,framework,candidate_id,hypothesis,temperature_variant,legacy_model,mirror_of,formula,status,error,warning,n,likelihood_method,AIC,BIC,logLik,df,AICc,delta_AICc,weight_AICc,rank_AICc
next_day,sensitivity_no_previous_bi,H00,Controls only,none,,,butterfly_diff_sqrt ~ lag_duration_hours,success,,,96,ML,680.5382287311193,693.3599696884585,-335.26911436555963,5,681.2048953977859,14.861775016701586,2.801928703773043e-4,24
next_day,sensitivity_no_previous_bi,H01,Wind,none,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust,success,,,96,ML,677.4440003170749,692.830089465882,-332.72200015853747,6,678.387820541794,12.04470016070968,0.001145980196760602,16
next_day,sensitivity_no_previous_bi,H02,Sun-exposed BI,none,,,butterfly_diff_sqrt ~ lag_duration_hours + sum_butterflies_direct_sun,success,,,96,ML,679.3546983285518,694.7407874773588,-333.6773491642759,6,680.2985185532708,13.955398172186506,4.4083321695732083e-4,21
next_day,sensitivity_no_previous_bi,H03,Additive wind and sun-exposed BI,none,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust + sum_butterflies_direct_sun,success,,,96,ML,677.3957259181019,695.3461632583768,-331.69786295905095,7,678.6684531908292,12.32533280974485,9.959522277164612e-4,18
next_day,sensitivity_no_previous_bi,H04,Linear wind by sun-exposed BI interaction,none,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun,success,,,96,ML,672.5128855544154,693.0276710861581,-328.2564427772077,8,674.1680579682086,7.824937587124282,0.009451199121525143,10
next_day,sensitivity_no_previous_bi,H05,Centered tensor wind by sun-exposed BI interaction,none,M32,,"butterfly_diff_sqrt ~ lag_duration_hours + ti(wind_max_gust, sum_butterflies_direct_sun)",success,,,96,ML,664.6879479672912,685.2027334990339,-324.3439739836456,8,666.3431203810843,0,0.4727706646594807,1
next_day,sensitivity_no_previous_bi,H06,Smooth additive wind and sun-exposed BI,none,,,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")",success,,,96,ML,681.6905529706173,699.6409903108922,-333.84527648530866,7,682.9632802433446,16.620159862260266,1.1631310850602201e-4,29
next_day,sensitivity_no_previous_bi,H07,Hierarchical tensor wind by sun-exposed BI interaction,none,,,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)",success,,,96,ML,668.3841465373982,694.0276284520766,-324.1920732686991,10,670.9723818315159,4.629261450431613,0.046711000466730775,4
next_day,sensitivity_no_previous_bi,min_T01,Temperature,min,,,butterfly_diff_sqrt ~ lag_duration_hours + temp_min,success,,,96,ML,682.5272994367945,697.9133885856015,-335.26364971839723,6,683.4711196615135,17.127999280429208,9.023036912677606e-5,32
next_day,sensitivity_no_previous_bi,min_T02,"Additive wind, temperature, and sun-exposed BI",min,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust + temp_min + sum_butterflies_direct_sun,success,,,96,ML,678.5851066826436,699.0998922143863,-331.2925533413218,8,680.2402790964368,13.897158715352475,4.538588921512832e-4,20
next_day,sensitivity_no_previous_bi,min_T03,Linear wind by temperature interaction,min,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_min + sum_butterflies_direct_sun,success,,,96,ML,680.1156783138123,703.1948120370228,-331.05783915690614,9,682.2087015696262,15.86558118854191,1.6962245305574922e-4,25
next_day,sensitivity_no_previous_bi,min_T04,Linear wind by sun-exposed BI interaction with additive temperature,min,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun + temp_min,success,,,96,ML,674.1749817124493,697.2541154356597,-328.08749085622463,9,676.2680049682632,9.924884587178894,0.0033074189923395165,14
next_day,sensitivity_no_previous_bi,min_T05,Linear temperature by sun-exposed BI interaction,min,,,butterfly_diff_sqrt ~ lag_duration_hours + temp_min * sum_butterflies_direct_sun + wind_max_gust,success,,,96,ML,680.3923805917243,703.4715143149348,-331.19619029586215,9,682.4854038475382,16.142283466453932,1.47706022502002e-4,26
next_day,sensitivity_no_previous_bi,min_T06,All linear two-way interactions,min,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_min + wind_max_gust * sum_butterflies_direct_sun + temp_min * sum_butterflies_direct_sun,success,,,96,ML,677.7219072254898,705.9297373316359,-327.8609536127449,11,680.8647643683469,14.521643987262564,3.3213572762985497e-4,23
next_day,sensitivity_no_previous_bi,min_T07,Linear wind by temperature by sun-exposed BI interaction,min,,M16,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_min * sum_butterflies_direct_sun,success,,,96,ML,678.9966970121378,709.7688753097518,-327.4983485060689,12,682.7557331567161,16.41261277563183,1.2903185467596118e-4,28
next_day,sensitivity_no_previous_bi,min_T08,"Smooth additive wind, temperature, and sun-exposed BI",min,,,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_min, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")",success,,,96,ML,683.6905529877752,704.2053385195179,-333.8452764938876,8,685.3457254015683,19.002605020483998,3.534168646620709e-5,34
next_day,sensitivity_no_previous_bi,min_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,min,,,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_min, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)",success,,,96,ML,670.3841465243543,698.5919766305004,-324.19207326217713,11,673.5270036672114,7.18388328612707,0.01302237165717177,8
next_day,sensitivity_no_previous_bi,max_T01,Temperature,max,,,butterfly_diff_sqrt ~ lag_duration_hours + temp_max,success,,,96,ML,678.4481805393826,693.8342696881897,-333.2240902696913,6,679.3920007641017,13.048880383017377,6.936208639346793e-4,19
next_day,sensitivity_no_previous_bi,max_T02,"Additive wind, temperature, and sun-exposed BI",max,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust + temp_max + sum_butterflies_direct_sun,success,,,96,ML,676.9531664730807,697.4679520048235,-330.47658323654036,8,678.6083388868739,12.265218505789562,0.0010263421444586644,17
next_day,sensitivity_no_previous_bi,max_T03,Linear wind by temperature interaction,max,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_max + sum_butterflies_direct_sun,success,,,96,ML,672.5595940599669,695.6387277831774,-327.27979702998346,9,674.6526173157808,8.30949693469654,0.007417647443959222,12
next_day,sensitivity_no_previous_bi,max_T04,Linear wind by sun-exposed BI interaction with additive temperature,max,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun + temp_max,success,,,96,ML,672.5092538012905,695.588387524501,-327.25462690064523,9,674.6022770571044,8.259156676020098,0.0076067200991891005,11
next_day,sensitivity_no_previous_bi,max_T05,Linear temperature by sun-exposed BI interaction,max,,,butterfly_diff_sqrt ~ lag_duration_hours + temp_max * sum_butterflies_direct_sun + wind_max_gust,success,,,96,ML,673.9015733572767,696.98070708048715,-327.95078667863834,9,675.9945966130906,9.651476232006303,0.0037919192987129137,13
next_day,sensitivity_no_previous_bi,max_T06,All linear two-way interactions,max,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_max + wind_max_gust * sum_butterflies_direct_sun + temp_max * sum_butterflies_direct_sun,success,,,96,ML,669.6766878468865,697.8845179530326,-323.83834392344323,11,672.8195449897436,6.476424608659272,0.018548670472713434,5
next_day,sensitivity_no_previous_bi,max_T07,Linear wind by temperature by sun-exposed BI interaction,max,,M16,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_max * sum_butterflies_direct_sun,success,,,96,ML,663.3989205999527,694.1710988975667,-319.69946029997635,12,667.157956744531,0.814836363446716,0.3145654732350627,2
next_day,sensitivity_no_previous_bi,max_T08,"Smooth additive wind, temperature, and sun-exposed BI",max,,,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_max, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")",success,,,96,ML,682.9972760748411,703.5120616065838,-333.49863803742056,8,684.6524484886343,18.30932810754996,4.998393447973654e-5,33
next_day,sensitivity_no_previous_bi,max_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,max,,,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_max, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)",success,,,96,ML,669.8270729625709,698.0349030687171,-323.91353648128546,11,672.969930105428,6.62680972434373,0.017205094916172024,6
next_day,sensitivity_no_previous_bi,at_previous_max_T01,Temperature,at_previous_max,,,butterfly_diff_sqrt ~ lag_duration_hours + temp_at_max_count_t_1,success,,,96,ML,682.52010690746,697.906196056267,-335.26005345373,6,683.463927132179,17.120806751094733,9.055544559533315e-5,31
next_day,sensitivity_no_previous_bi,at_previous_max_T02,"Additive wind, temperature, and sun-exposed BI",at_previous_max,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust + temp_at_max_count_t_1 + sum_butterflies_direct_sun,success,,,96,ML,678.9022850165807,699.4170705483234,-331.45114250829033,8,680.5574574303738,14.214337049289497,3.8729906505937495e-4,22
next_day,sensitivity_no_previous_bi,at_previous_max_T03,Linear wind by temperature interaction,at_previous_max,,,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_at_max_count_t_1 + sum_butterflies_direct_sun,success,,,96,ML,680.8950622034994,703.9741959267099,-331.4475311017497,9,682.9880854593133,16.644965078229006,1.1487943166157753e-4,30
