rank_AICc,candidate_id,hypothesis,temperature_variant,legacy_model,mirror_of,AICc,delta_AICc,weight_AICc,formula
1,H05,Centered tensor wind by sun-exposed BI interaction,none,M32,,666.3431203810843,0,0.4727706646594807,"butterfly_diff_sqrt ~ lag_duration_hours + ti(wind_max_gust, sum_butterflies_direct_sun)"
2,max_T07,Linear wind by temperature by sun-exposed BI interaction,max,,M16,667.157956744531,0.814836363446716,0.3145654732350627,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_max * sum_butterflies_direct_sun
3,at_previous_max_T07,Linear wind by temperature by sun-exposed BI interaction,at_previous_max,,M16,670.9587668234166,4.615646442332263,0.04703007059496982,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_at_max_count_t_1 * sum_butterflies_direct_sun
4,H07,Hierarchical tensor wind by sun-exposed BI interaction,none,,,670.9723818315159,4.629261450431613,0.046711000466730775,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)"
5,max_T06,All linear two-way interactions,max,,,672.8195449897436,6.476424608659272,0.018548670472713434,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_max + wind_max_gust * sum_butterflies_direct_sun + temp_max * sum_butterflies_direct_sun
6,max_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,max,,,672.969930105428,6.62680972434373,0.017205094916172024,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_max, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)"
7,at_previous_max_T06,All linear two-way interactions,at_previous_max,,,673.1685030891625,6.825382708078223,0.01557892538635082,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_at_max_count_t_1 + wind_max_gust * sum_butterflies_direct_sun + temp_at_max_count_t_1 * sum_butterflies_direct_sun
8,min_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,min,,,673.5270036672114,7.18388328612707,0.01302237165717177,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_min, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)"
9,at_previous_max_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,at_previous_max,,,673.5270036722934,7.183883291209099,0.013022371624081734,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_at_max_count_t_1, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)"
10,H04,Linear wind by sun-exposed BI interaction,none,,,674.1680579682086,7.824937587124282,0.009451199121525143,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun
11,max_T04,Linear wind by sun-exposed BI interaction with additive temperature,max,,,674.6022770571044,8.259156676020098,0.0076067200991891005,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun + temp_max
12,max_T03,Linear wind by temperature interaction,max,,,674.6526173157808,8.30949693469654,0.007417647443959222,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_max + sum_butterflies_direct_sun
13,max_T05,Linear temperature by sun-exposed BI interaction,max,,,675.9945966130906,9.651476232006303,0.0037919192987129137,butterfly_diff_sqrt ~ lag_duration_hours + temp_max * sum_butterflies_direct_sun + wind_max_gust
14,min_T04,Linear wind by sun-exposed BI interaction with additive temperature,min,,,676.2680049682632,9.924884587178894,0.0033074189923395165,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun + temp_min
15,at_previous_max_T04,Linear wind by sun-exposed BI interaction with additive temperature,at_previous_max,,,676.3981196544423,10.054999273358021,0.0030990970085851403,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun + temp_at_max_count_t_1
16,H01,Wind,none,,,678.387820541794,12.04470016070968,0.001145980196760602,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust
17,max_T02,"Additive wind, temperature, and sun-exposed BI",max,,,678.6083388868739,12.265218505789562,0.0010263421444586644,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust + temp_max + sum_butterflies_direct_sun
18,H03,Additive wind and sun-exposed BI,none,,,678.6684531908292,12.32533280974485,9.959522277164612e-4,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust + sum_butterflies_direct_sun
19,max_T01,Temperature,max,,,679.3920007641017,13.048880383017377,6.936208639346793e-4,butterfly_diff_sqrt ~ lag_duration_hours + temp_max
20,min_T02,"Additive wind, temperature, and sun-exposed BI",min,,,680.2402790964368,13.897158715352475,4.538588921512832e-4,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust + temp_min + sum_butterflies_direct_sun
21,H02,Sun-exposed BI,none,,,680.2985185532708,13.955398172186506,4.4083321695732083e-4,butterfly_diff_sqrt ~ lag_duration_hours + sum_butterflies_direct_sun
22,at_previous_max_T02,"Additive wind, temperature, and sun-exposed BI",at_previous_max,,,680.5574574303738,14.214337049289497,3.8729906505937495e-4,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust + temp_at_max_count_t_1 + sum_butterflies_direct_sun
23,min_T06,All linear two-way interactions,min,,,680.8647643683469,14.521643987262564,3.3213572762985497e-4,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_min + wind_max_gust * sum_butterflies_direct_sun + temp_min * sum_butterflies_direct_sun
24,H00,Controls only,none,,,681.2048953977859,14.861775016701586,2.801928703773043e-4,butterfly_diff_sqrt ~ lag_duration_hours
25,min_T03,Linear wind by temperature interaction,min,,,682.2087015696262,15.86558118854191,1.6962245305574922e-4,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_min + sum_butterflies_direct_sun
26,min_T05,Linear temperature by sun-exposed BI interaction,min,,,682.4854038475382,16.142283466453932,1.47706022502002e-4,butterfly_diff_sqrt ~ lag_duration_hours + temp_min * sum_butterflies_direct_sun + wind_max_gust
27,at_previous_max_T05,Linear temperature by sun-exposed BI interaction,at_previous_max,,,682.6485749439216,16.305454562837326,1.3613382588171513e-4,butterfly_diff_sqrt ~ lag_duration_hours + temp_at_max_count_t_1 * sum_butterflies_direct_sun + wind_max_gust
28,min_T07,Linear wind by temperature by sun-exposed BI interaction,min,,M16,682.7557331567161,16.41261277563183,1.2903185467596118e-4,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_min * sum_butterflies_direct_sun
29,H06,Smooth additive wind and sun-exposed BI,none,,,682.9632802433446,16.620159862260266,1.1631310850602201e-4,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")"
30,at_previous_max_T03,Linear wind by temperature interaction,at_previous_max,,,682.9880854593133,16.644965078229006,1.1487943166157753e-4,butterfly_diff_sqrt ~ lag_duration_hours + wind_max_gust * temp_at_max_count_t_1 + sum_butterflies_direct_sun
31,at_previous_max_T01,Temperature,at_previous_max,,,683.463927132179,17.120806751094733,9.055544559533315e-5,butterfly_diff_sqrt ~ lag_duration_hours + temp_at_max_count_t_1
32,min_T01,Temperature,min,,,683.4711196615135,17.127999280429208,9.023036912677606e-5,butterfly_diff_sqrt ~ lag_duration_hours + temp_min
33,max_T08,"Smooth additive wind, temperature, and sun-exposed BI",max,,,684.6524484886343,18.30932810754996,4.998393447973654e-5,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_max, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")"
34,min_T08,"Smooth additive wind, temperature, and sun-exposed BI",min,,,685.3457254015683,19.002605020483998,3.534168646620709e-5,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_min, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")"
35,at_previous_max_T08,"Smooth additive wind, temperature, and sun-exposed BI",at_previous_max,,,685.3457254302948,19.0026050492105,3.534168595858555e-5,"butterfly_diff_sqrt ~ lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_at_max_count_t_1, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")"
