window,framework,candidate_id,hypothesis,temperature_variant,legacy_model,mirror_of,formula,status,error,warning,n,likelihood_method,AIC,BIC,logLik,df,AICc,delta_AICc,weight_AICc,rank_AICc
next_day,primary_previous_bi,H00,Controls only,none,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours,success,,,96,ML,652.6390521519563,668.0251413007634,-320.31952607597816,6,653.5828723766754,3.577746199444732,0.06143086674937293,5
next_day,primary_previous_bi,H01,Wind,none,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s,success,,,96,ML,654.4902283028337,672.4406656431086,-320.24511415141683,7,655.7629555755609,5.757829398330273,0.02065321144388166,10
next_day,primary_previous_bi,H02,Sun-exposed BI,none,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + cumulative_sun_exposed_bi,success,,,96,ML,654.4597018103034,672.4101391505783,-320.2298509051517,7,655.7324290830306,5.727302905800002,0.0209708645381595,9
next_day,primary_previous_bi,H03,Additive wind and sun-exposed BI,none,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s + cumulative_sun_exposed_bi,success,,,96,ML,656.28426078229,676.7990463140327,-320.142130391145,8,657.9394331960831,7.934307018852451,0.006956190725184444,18
next_day,primary_previous_bi,H04,Linear wind by sun-exposed BI interaction,none,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * cumulative_sun_exposed_bi,success,,,96,ML,656.6720918687289,679.7512255919394,-319.33604593436445,9,658.7651151245428,8.759988947312195,0.004603381079054408,22
next_day,primary_previous_bi,H05,Centered tensor wind by sun-exposed BI interaction,none,M32,,"delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + ti(maximum_wind_gust_m_s, cumulative_sun_exposed_bi)",success,,,96,ML,647.9121029214167,670.9912366446272,-314.95605146070835,9,650.0051261772306,0,0.367522861302544,1
next_day,primary_previous_bi,H06,Smooth additive wind and sun-exposed BI,none,,,"delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + s(maximum_wind_gust_m_s, k = 5, bs = ""ts"") + s(cumulative_sun_exposed_bi, k = 5, bs = ""ts"")",success,,,96,ML,656.6390521541937,677.1538376859364,-320.31952607709684,8,658.2942245679868,8.28909839075618,0.0058254504618369465,19
next_day,primary_previous_bi,H07,Hierarchical tensor wind by sun-exposed BI interaction,none,,,"delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + s(maximum_wind_gust_m_s, k = 5, bs = ""ts"") + s(cumulative_sun_exposed_bi, k = 5, bs = ""ts"") + ti(maximum_wind_gust_m_s, cumulative_sun_exposed_bi)",success,,,96,ML,651.9121029144117,680.1199330205578,-314.95605145720583,11,655.0549600572688,5.049833880038136,0.029425704183357382,7
next_day,primary_previous_bi,min_T01,Temperature,min,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + minimum_temperature_c,success,,,96,ML,653.0350402172085,670.9854775574834,-319.51752010860423,7,654.3077674899357,4.302641312705077,0.04275409019968053,6
next_day,primary_previous_bi,min_T02,"Additive wind, temperature, and sun-exposed BI",min,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s + minimum_temperature_c + cumulative_sun_exposed_bi,success,,,96,ML,656.4663730237127,679.5455067469231,-319.23318651185633,9,658.5593962795266,8.554270102295959,0.005102091089249966,21
next_day,primary_previous_bi,min_T03,Linear wind by temperature interaction,min,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * minimum_temperature_c + cumulative_sun_exposed_bi,success,,,96,ML,657.5324277971308,683.1759097118091,-318.7662138985654,10,660.1206630912485,10.115536914017866,0.002337348266473364,29
next_day,primary_previous_bi,min_T04,Linear wind by sun-exposed BI interaction with additive temperature,min,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * cumulative_sun_exposed_bi + minimum_temperature_c,success,,,96,ML,656.9916280062102,682.6351099208886,-318.4958140031051,10,659.5798633003279,9.574737123097293,0.003063067800086181,26
next_day,primary_previous_bi,min_T05,Linear temperature by sun-exposed BI interaction,min,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + minimum_temperature_c * cumulative_sun_exposed_bi + maximum_wind_gust_m_s,success,,,96,ML,656.5539386462398,682.1974205609181,-318.2769693231199,10,659.1421739403575,9.137047763126816,0.003812410410532247,24
next_day,primary_previous_bi,min_T06,All linear two-way interactions,min,,,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * minimum_temperature_c + maximum_wind_gust_m_s * cumulative_sun_exposed_bi + minimum_temperature_c * cumulative_sun_exposed_bi,success,,,96,ML,659.245859853732,690.018038151346,-317.622929926866,12,663.0048959983103,12.999769821079667,5.52611870139628e-4,35
next_day,primary_previous_bi,min_T07,Linear wind by temperature by sun-exposed BI interaction,min,,M16,delta_bi_signed_square_root ~ previous_day_maximum_bi + window_duration_hours + maximum_wind_gust_m_s * minimum_temperature_c * cumulative_sun_exposed_bi,success,,,96,ML,658.4175034396592,691.754029928741,-316.2087517198296,13,662.8565278299031,12.851401652672507,5.951657730981128e-4,34
