rank_AICc,candidate_id,hypothesis,temperature_variant,legacy_model,mirror_of,AICc,delta_AICc,weight_AICc,formula
1,H05,Centered tensor wind by sun-exposed BI interaction,none,M32,,650.0051261772306,0,0.367522861302544,"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + ti(wind_max_gust, sum_butterflies_direct_sun)"
2,max_T01,Temperature,max,,,651.8958187978324,1.890692620601726,0.14279916664129527,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + temp_max
3,at_previous_max_T07,Linear wind by temperature by sun-exposed BI interaction,at_previous_max,,M16,652.9945282601034,2.9894020828727434,0.08244113165220082,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * temp_at_max_count_t_1 * sum_butterflies_direct_sun
4,max_T07,Linear wind by temperature by sun-exposed BI interaction,max,,M16,653.5330940278072,3.5279678505766014,0.06297901647313273,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * temp_max * sum_butterflies_direct_sun
5,H00,Controls only,none,,,653.5828723766754,3.577746199444732,0.06143086674937293,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours
6,min_T01,Temperature,min,,,654.3077674899357,4.302641312705077,0.04275409019968053,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + temp_min
7,H07,Hierarchical tensor wind by sun-exposed BI interaction,none,,,655.0549600572688,5.049833880038136,0.029425704183357382,"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)"
8,at_previous_max_T01,Temperature,at_previous_max,,,655.4146610256025,5.409534848371891,0.02458208929096629,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + temp_at_max_count_t_1
9,H02,Sun-exposed BI,none,,,655.7324290830306,5.727302905800002,0.0209708645381595,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + sum_butterflies_direct_sun
10,H01,Wind,none,,,655.7629555755609,5.757829398330273,0.02065321144388166,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust
11,at_previous_max_T06,All linear two-way interactions,at_previous_max,,,655.91928607392515,5.914159896694514,0.019100329304873095,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * temp_at_max_count_t_1 + wind_max_gust * sum_butterflies_direct_sun + temp_at_max_count_t_1 * sum_butterflies_direct_sun
12,max_T03,Linear wind by temperature interaction,max,,,656.446660930736,6.44153475350538,0.014673133192796244,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * temp_max + sum_butterflies_direct_sun
13,max_T02,"Additive wind, temperature, and sun-exposed BI",max,,,656.4686678263935,6.463541649162835,0.014512563169256702,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust + temp_max + sum_butterflies_direct_sun
14,max_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,max,,,656.7883484272205,6.783222249989876,0.012368765695710916,"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_max, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)"
15,max_T04,Linear wind by sun-exposed BI interaction with additive temperature,max,,,657.37047223069,7.365346053459348,0.009245273959066576,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun + temp_max
16,at_previous_max_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,at_previous_max,,,657.6711390642427,7.666012887012016,0.007954828325381597,"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_at_max_count_t_1, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)"
17,min_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,min,,,657.6711390848042,7.666012907573531,0.007954828243599936,"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_min, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"") + ti(wind_max_gust, sum_butterflies_direct_sun)"
18,H03,Additive wind and sun-exposed BI,none,,,657.9394331960831,7.934307018852451,0.006956190725184444,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust + sum_butterflies_direct_sun
19,H06,Smooth additive wind and sun-exposed BI,none,,,658.2942245679868,8.28909839075618,0.0058254504618369465,"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")"
20,max_T06,All linear two-way interactions,max,,,658.2978407614771,8.292714584246482,0.005814927000402997,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * temp_max + wind_max_gust * sum_butterflies_direct_sun + temp_max * sum_butterflies_direct_sun
21,min_T02,"Additive wind, temperature, and sun-exposed BI",min,,,658.5593962795266,8.554270102295959,0.005102091089249966,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust + temp_min + sum_butterflies_direct_sun
22,H04,Linear wind by sun-exposed BI interaction,none,,,658.7651151245428,8.759988947312195,0.004603381079054408,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun
23,max_T05,Linear temperature by sun-exposed BI interaction,max,,,658.8081318332222,8.80300565599157,0.004505427118068472,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + temp_max * sum_butterflies_direct_sun + wind_max_gust
24,min_T05,Linear temperature by sun-exposed BI interaction,min,,,659.1421739403575,9.137047763126816,0.003812410410532247,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + temp_min * sum_butterflies_direct_sun + wind_max_gust
25,max_T08,"Smooth additive wind, temperature, and sun-exposed BI",max,,,659.15424891134,9.149122734109369,0.0037894623818937948,"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_max, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")"
26,min_T04,Linear wind by sun-exposed BI interaction with additive temperature,min,,,659.5798633003279,9.574737123097293,0.003063067800086181,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun + temp_min
27,at_previous_max_T05,Linear temperature by sun-exposed BI interaction,at_previous_max,,,659.7801864414133,9.775060264182684,0.002771130590253533,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + temp_at_max_count_t_1 * sum_butterflies_direct_sun + wind_max_gust
28,at_previous_max_T02,"Additive wind, temperature, and sun-exposed BI",at_previous_max,,,659.8851925756858,9.880066398455142,0.0026293911700586924,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust + temp_at_max_count_t_1 + sum_butterflies_direct_sun
29,min_T03,Linear wind by temperature interaction,min,,,660.1206630912485,10.115536914017866,0.002337348266473364,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * temp_min + sum_butterflies_direct_sun
30,min_T08,"Smooth additive wind, temperature, and sun-exposed BI",min,,,660.6487821493565,10.643655972125885,0.001794914768855408,"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_min, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")"
31,at_previous_max_T04,Linear wind by sun-exposed BI interaction with additive temperature,at_previous_max,,,660.6914288219165,10.686302644685838,0.0017570463727548179,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * sum_butterflies_direct_sun + temp_at_max_count_t_1
32,at_previous_max_T08,"Smooth additive wind, temperature, and sun-exposed BI",at_previous_max,,,660.7320754563241,10.726949279093446,0.0017216977790033272,"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s(wind_max_gust, k = 5, bs = ""ts"") + s(temp_at_max_count_t_1, k = 5, bs = ""ts"") + s(sum_butterflies_direct_sun, k = 5, bs = ""ts"")"
33,at_previous_max_T03,Linear wind by temperature interaction,at_previous_max,,,661.8195754631606,11.814449285929982,9.995609777775274e-4,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * temp_at_max_count_t_1 + sum_butterflies_direct_sun
34,min_T07,Linear wind by temperature by sun-exposed BI interaction,min,,M16,662.8565278299031,12.851401652672507,5.951657730981128e-4,butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + wind_max_gust * temp_min * sum_butterflies_direct_sun
