rank_AICc,candidate_id,hypothesis,temperature_variant,legacy_model,mirror_of,AICc,delta_AICc,weight_AICc,formula
1,avg_T07,Linear wind by temperature by sun-exposed BI interaction,avg,M16,,8071.653168854435,0,0.9999999685035504,butterfly_difference_cbrt ~ 1 + max_gust * temperature_avg * butterflies_direct_sun_t_lag
2,avg_T06,All linear two-way interactions,avg,,,8106.577301379055,34.92413252462029,2.608080343497724e-8,butterfly_difference_cbrt ~ 1 + max_gust * temperature_avg + max_gust * butterflies_direct_sun_t_lag + temperature_avg * butterflies_direct_sun_t_lag
3,avg_T03,Linear wind by temperature interaction,avg,,,8109.915499678339,38.26233082390445,4.914059555086339e-9,butterfly_difference_cbrt ~ 1 + max_gust * temperature_avg + butterflies_direct_sun_t_lag
4,avg_T04,Linear wind by sun-exposed BI interaction with additive temperature,avg,,,8114.595968663757,42.94279980932242,4.732487646683606e-10,butterfly_difference_cbrt ~ 1 + max_gust * butterflies_direct_sun_t_lag + temperature_avg
5,avg_T02,"Additive wind, temperature, and sun-exposed BI",avg,,,8121.904085235823,50.25091638138838,1.2250452728518502e-11,butterfly_difference_cbrt ~ 1 + max_gust + temperature_avg + butterflies_direct_sun_t_lag
6,avg_T09,Hierarchical tensor wind by sun-exposed BI interaction with smooth temperature,avg,,,8122.138648303526,50.485479449091144,1.0894753683067366e-11,"butterfly_difference_cbrt ~ 1 + s(max_gust, k = 5, bs = ""ts"") + s(temperature_avg, k = 5, bs = ""ts"") + s(butterflies_direct_sun_t_lag, k = 5, bs = ""ts"") + ti(max_gust, butterflies_direct_sun_t_lag)"
7,avg_T05,Linear temperature by sun-exposed BI interaction,avg,,,8123.74130834014,52.08813948570514,4.8888218382252855e-12,butterfly_difference_cbrt ~ 1 + temperature_avg * butterflies_direct_sun_t_lag + max_gust
8,H04,Linear wind by sun-exposed BI interaction,none,,,8129.907040190967,58.25387133653203,2.2404360434118113e-13,butterfly_difference_cbrt ~ 1 + max_gust * butterflies_direct_sun_t_lag
9,avg_T08,"Smooth additive wind, temperature, and sun-exposed BI",avg,,,8132.495642111207,60.84247325677279,6.140797637036273e-14,"butterfly_difference_cbrt ~ 1 + s(max_gust, k = 5, bs = ""ts"") + s(temperature_avg, k = 5, bs = ""ts"") + s(butterflies_direct_sun_t_lag, k = 5, bs = ""ts"")"
10,H07,Hierarchical tensor wind by sun-exposed BI interaction,none,,,8136.055805787489,64.40263693305405,1.035487990381712e-14,"butterfly_difference_cbrt ~ 1 + s(max_gust, k = 5, bs = ""ts"") + s(butterflies_direct_sun_t_lag, k = 5, bs = ""ts"") + ti(max_gust, butterflies_direct_sun_t_lag)"
11,H03,Additive wind and sun-exposed BI,none,,,8136.804039030706,65.15087017627138,7.123087544218986e-15,butterfly_difference_cbrt ~ 1 + max_gust + butterflies_direct_sun_t_lag
12,H02,Sun-exposed BI,none,,,8142.637463927869,70.98429507343462,3.8543944759260567e-16,butterfly_difference_cbrt ~ 1 + butterflies_direct_sun_t_lag
13,H06,Smooth additive wind and sun-exposed BI,none,,,8144.443343298287,72.79017444385227,1.562479893650817e-16,"butterfly_difference_cbrt ~ 1 + s(max_gust, k = 5, bs = ""ts"") + s(butterflies_direct_sun_t_lag, k = 5, bs = ""ts"")"
14,H05,Tensor wind by sun-exposed BI interaction without marginal smooths,none,,M32,8145.506491673354,73.85332281891897,9.182368151551691e-17,"butterfly_difference_cbrt ~ 1 + ti(max_gust, butterflies_direct_sun_t_lag)"
15,avg_T01,Temperature,avg,,,8156.943377223401,85.29020836896598,3.0162446098162333e-19,butterfly_difference_cbrt ~ 1 + temperature_avg
16,H00,Controls only,none,,,8170.349213780456,98.69604492602139,3.7019124013898963e-22,butterfly_difference_cbrt ~ 1
17,H01,Wind,none,,,8170.931670599053,99.27850174461855,2.7666055680777693e-22,butterfly_difference_cbrt ~ 1 + max_gust
