window,framework,candidate_id,hypothesis,temperature_variant,legacy_model,mirror_of,formula,status,error,warning,n,likelihood_method,AIC,BIC,logLik,df,AICc,delta_AICc,weight_AICc,rank_AICc
thirty_minute,primary_controls,H00,Controls only,none,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t,success,,,1894,ML,8125.636597990026,8164.4617219062475,-4055.818298995013,7,8125.695982931701,73.67477340589176,1.0039826255124071e-16,15
thirty_minute,primary_controls,H01,Wind,none,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + max_gust,success,,,1894,ML,8126.929068206406,8171.300638396374,-4055.464534103203,8,8127.00546077935,74.9842512535406,5.2164697761925916e-17,16
thirty_minute,primary_controls,H02,Sun-exposed BI,none,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + butterflies_direct_sun_t_lag,success,,,1894,ML,8097.706058308846,8142.077628498814,-4040.853029154423,8,8097.78245088179,45.76124135598093,1.1563057013727915e-10,8
thirty_minute,primary_controls,H03,Additive wind and sun-exposed BI,none,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + max_gust + butterflies_direct_sun_t_lag,success,,,1894,ML,8098.1221647419625,8148.040181205677,-4040.0610823709812,9,8098.217706143237,46.19649661742733,9.301611317663543e-11,9
thirty_minute,primary_controls,H04,Linear wind by sun-exposed BI interaction,none,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + max_gust * butterflies_direct_sun_t_lag,success,,,1894,ML,8092.640188833815,8148.104651571275,-4036.3200944169075,10,8092.757023671839,40.73581414602995,1.426692309661488e-9,5
thirty_minute,primary_controls,H05,Centered tensor wind by sun-exposed BI interaction,none,,M32,"butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + ti(max_gust, butterflies_direct_sun_t_lag)",success,,,1894,ML,8106.218430241199,8161.682892978659,-4043.1092151205994,10,8106.335265079223,54.31405555341371,1.606396176131341e-12,14
thirty_minute,primary_controls,H06,Smooth additive wind and sun-exposed BI,none,,,"butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + s(max_gust, k = 5, bs = ""ts"") + s(butterflies_direct_sun_t_lag, k = 5, bs = ""ts"")",success,,,1894,ML,8104.090461054675,8154.00847751839,-4043.0452305273375,9,8104.186002455949,52.16479293013981,4.704994395010799e-12,12
thirty_minute,primary_controls,H07,Hierarchical tensor wind by sun-exposed BI interaction,none,,,"butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + s(max_gust, k = 5, bs = ""ts"") + s(butterflies_direct_sun_t_lag, k = 5, bs = ""ts"") + ti(max_gust, butterflies_direct_sun_t_lag)",success,,,1894,ML,8097.611570807552,8164.168926092504,-4036.805785403776,12,8097.777440026053,45.75623050024387,1.1592063740973547e-10,7
thirty_minute,primary_controls,avg_T01,Temperature,avg,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + temperature_avg,success,,,1894,ML,8127.152812381526,8171.524382571494,-4055.576406190763,8,8127.22920495447,75.20799542866098,4.664351438245292e-17,17
thirty_minute,primary_controls,avg_T02,"Additive wind, temperature, and sun-exposed BI",avg,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + max_gust + temperature_avg + butterflies_direct_sun_t_lag,success,,,1894,ML,8097.466223886007,8152.930686623467,-4038.7331119430037,10,8097.583058724032,45.56184919822226,1.2775271070848862e-10,6
thirty_minute,primary_controls,avg_T03,Linear wind by temperature interaction,avg,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + max_gust * temperature_avg + butterflies_direct_sun_t_lag,success,,,1894,ML,8087.398195009537,8148.409104020743,-4032.6990975047684,11,8087.5384713113435,35.517261785534174,1.93876230445374e-8,3
thirty_minute,primary_controls,avg_T04,Linear wind by sun-exposed BI interaction with additive temperature,avg,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + max_gust * butterflies_direct_sun_t_lag + temperature_avg,success,,,1894,ML,8092.023728868211,8153.0346378794175,-4035.0118644341055,11,8092.164005170018,40.14279564420849,1.9191222992933998e-9,4
thirty_minute,primary_controls,avg_T05,Linear temperature by sun-exposed BI interaction,avg,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + temperature_avg * butterflies_direct_sun_t_lag + max_gust,success,,,1894,ML,8099.174149602906,8160.185058614113,-4038.587074801453,11,8099.314425904713,47.29321637890371,5.375371911069146e-11,11
thirty_minute,primary_controls,avg_T06,All linear two-way interactions,avg,,,butterfly_difference_cbrt ~ total_butterflies_t_lag + time_within_day_t + max_gust * temperature_avg + max_gust * butterflies_direct_sun_t_lag + temperature_avg * butterflies_direct_sun_t_lag,success,,,1894,ML,8085.626127940603,8157.729929499301,-4029.8130639703013,13,8085.819744961879,33.79853543606987,4.5786901181298644e-8,2
