term,Estimate,Std. Error,t value,Pr(>|t|),term_type
(Intercept),0.12544285407307718,0.48621408280642686,0.25799921990951236,0.7964356879049643,parametric
previous_bi,-0.0023004001968945486,4.756855322782021e-4,-4.835968388353615,1.4325494277378865e-6,parametric
minutes_since_first_daily_observation,5.454363860352824e-4,2.6659204496763276e-4,2.0459589711369834,0.04089898511501168,parametric
maximum_wind_gust_m_s,-0.21305344636296447,0.14711511561607168,-1.448209080832815,0.14772498006087514,parametric
mean_temperature_c,0.002336401361643532,0.022865186157559655,0.10218160243891451,0.9186234043708492,parametric
previous_sun_exposed_bi,0.16897904440364067,0.03611232389174948,4.679262539574392,3.084166050897349e-6,parametric
maximum_wind_gust_m_s:mean_temperature_c,0.01563804502585442,0.010258374400820273,1.5244174578580383,0.1275722974685442,parametric
maximum_wind_gust_m_s:previous_sun_exposed_bi,-0.09073430378831993,0.01680747144265812,-5.398450569907391,7.572282562312262e-8,parametric
mean_temperature_c:previous_sun_exposed_bi,-0.013758663140972597,0.0024433611315306143,-5.631039539518928,2.0608153924391653e-8,parametric
maximum_wind_gust_m_s:mean_temperature_c:previous_sun_exposed_bi,0.00650696359063363,0.0010814621920284002,6.016820225984147,2.131960274806381e-9,parametric
