model,description,formula,status,error,warning,n,likelihood_method,AIC,BIC,logLik,df,AICc,delta_AICc,weight_AICc
M1,Null (smooth baseline),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"")",success,,,96,ML,660.5009818880736,675.8870710368807,-324.2504909440368,6,661.4448021127927,11.439675935562036,0.0020113749934459095
M2,Null (linear baseline),butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours,success,,,96,ML,652.6390521519563,668.0251413007634,-320.31952607597816,6,653.5828723766754,3.577746199444732,0.10249186530974562
M3,Single: temp_min (smooth),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"") + s( temp_min )",success,,,96,ML,663.0281483785986,683.5429339103414,-323.5140741892993,8,664.6833207923918,14.678194615161146,3.9834342245722676e-4
M4,Single: temp_min (linear),butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s( temp_min ),success,,,96,ML,655.0350402252127,675.5498257569554,-319.51752011260635,8,656.6902126390058,6.6850864617751995,0.02167399817789463
M5,Single: temp_max (smooth),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"") + s( temp_max )",success,,,96,ML,660.4867962997803,681.001581831523,-322.24339814989014,8,662.1419687135734,12.136842536342783,0.0014194014435866653
M6,Single: temp_max (linear),butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s( temp_max ),success,,,96,ML,652.8957085225408,673.4104940542834,-318.4478542612704,8,654.5508809363339,4.545754759103261,0.06316681933523201
M7,Single: temp_at_max_count_t_1 (smooth),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"") + s( temp_at_max_count_t_1 )",success,,,96,ML,664.3248818726521,684.8396674043947,-324.16244093632605,8,665.9800542864452,15.974928109214602,2.0829341957941098e-4
M8,Single: temp_at_max_count_t_1 (linear),butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s( temp_at_max_count_t_1 ),success,,,96,ML,656.1419337855525,676.6567193172953,-320.07096689277626,8,657.7971061993456,7.791980022115013,0.012461782005887177
M9,Single: wind_max_gust (smooth),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"") + s( wind_max_gust )",success,,,96,ML,664.350595214659,684.8653807464018,-324.1752976073295,8,666.0057676284522,16.000641451221554,2.0563260089822503e-4
M10,Single: wind_max_gust (linear),butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s( wind_max_gust ),success,,,96,ML,656.4902283129899,677.0050138447325,-320.24511415649494,8,658.145400726783,8.140274549552373,0.010470054786104539
M11,Single: sum_butterflies_direct_sun (smooth),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"") + s( sum_butterflies_direct_sun )",success,,,96,ML,663.6582994742245,684.1730850059671,-323.82914973711223,8,665.3134718880176,15.308345710786966,2.90684636429456e-4
M12,Single: sum_butterflies_direct_sun (linear),butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + s( sum_butterflies_direct_sun ),success,,,96,ML,656.0227143921113,676.53749992385406,-320.01135719605566,8,657.6778868059044,7.672760628673814,0.0132272119371103
M13,Interaction: temp_min x temp_max (smooth),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"") + ti(temp_min, temp_max)",success,,,96,ML,665.4453841198759,688.5245178430864,-323.72269205993797,9,667.5384073756899,17.533281198459235,9.55616139852003e-5
M14,Interaction: temp_min x temp_max (linear),"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + ti(temp_min, temp_max)",success,,,96,ML,657.430551594607,680.5096853178175,-319.7152757973035,9,659.5235748504209,9.518448673190278,0.005256325432908395
M15,Interaction: temp_min x temp_at_max_count_t_1 (smooth),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"") + ti(temp_min, temp_at_max_count_t_1)",success,,,96,ML,664.6620435053536,687.7411772285641,-323.3310217526768,9,666.7550667611675,16.749940583936905,1.413786171110966e-4
M16,Interaction: temp_min x temp_at_max_count_t_1 (linear),"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + ti(temp_min, temp_at_max_count_t_1)",success,,,96,ML,656.8717106045991,679.9508443278096,-319.43585530229956,9,658.964733860413,8.959607683182412,0.0069507717093459384
M17,Interaction: temp_min x wind_max_gust (smooth),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"") + ti(temp_min, wind_max_gust)",success,,,96,ML,665.4633297515911,688.5424634748016,-323.73166487579556,9,667.556353007405,17.551226830174414,9.470799264060714e-5
M18,Interaction: temp_min x wind_max_gust (linear),"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + ti(temp_min, wind_max_gust)",success,,,96,ML,657.6515151616696,680.7306488848801,-319.8257575808348,9,659.7445384174836,9.739412240252932,0.004706527675186561
M19,Interaction: temp_min x sum_butterflies_direct_sun (smooth),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"") + ti(temp_min, sum_butterflies_direct_sun)",success,,,96,ML,661.6042015976723,684.6833353208827,-321.80210079883614,9,663.6972248534862,13.692098676255569,6.522073110848102e-4
M20,Interaction: temp_min x sum_butterflies_direct_sun (linear),"butterfly_diff_sqrt ~ max_butterflies_t_1 + lag_duration_hours + ti(temp_min, sum_butterflies_direct_sun)",success,,,96,ML,653.8224166359364,676.9015503591469,-317.9112083179682,9,655.9154398917503,5.9103137145197024,0.0319285206641475
M21,Interaction: temp_max x temp_at_max_count_t_1 (smooth),"butterfly_diff_sqrt ~ s(max_butterflies_t_1, k = 5, bs = ""ts"") + s(lag_duration_hours, k = 5, bs = ""ts"") + ti(temp_max, temp_at_max_count_t_1)",success,,,96,ML,665.7984405779023,688.8775743011128,-323.89922028895114,9,667.8914638337162,17.88633765648558,8.009736707494949e-5
