deployment_id,deployment_day_id,observation_order,previous_image_filename,previous_timestamp_recorded,current_image_filename,current_timestamp_recorded,previous_bi,current_bi,delta_bi,delta_bi_signed_cuberoot,previous_sun_exposed_bi,mean_temperature_c,maximum_wind_gust_m_s,minutes_since_first_daily_observation,minutes_gust_at_or_above_2_m_s,primary_observer
SC10,SC10_20240106,11,SC10_20240106113604.JPG,2024-01-06 11:36:04,SC10_20240106120604.JPG,2024-01-06 12:06:04,0.0,1.0,1.0,1.0,0.0,17.0,2.0,300.0,1,Emery
SC10,SC10_20240106,12,SC10_20240106120604.JPG,2024-01-06 12:06:04,SC10_20240106123604.JPG,2024-01-06 12:36:04,1.0,4.0,3.0,1.4422495703074083,1.0,17.0,2.0,330.0,1,Emery
SC10,SC10_20240106,13,SC10_20240106123604.JPG,2024-01-06 12:36:04,SC10_20240106130604.JPG,2024-01-06 13:06:04,4.0,3.0,-1.0,-1.0,4.0,17.0,2.2,360.0,1,Emery
SC10,SC10_20240106,14,SC10_20240106130604.JPG,2024-01-06 13:06:04,SC10_20240106133604.JPG,2024-01-06 13:36:04,3.0,25.0,22.0,2.802039330655387,3.0,16.5,2.0,390.0,1,Emery
SC10,SC10_20240106,15,SC10_20240106133604.JPG,2024-01-06 13:36:04,SC10_20240106140604.JPG,2024-01-06 14:06:04,25.0,19.0,-6.0,-1.8171205928321397,0.0,15.5,1.6,420.0,0,Emery
SC10,SC10_20240106,16,SC10_20240106140604.JPG,2024-01-06 14:06:04,SC10_20240106143604.JPG,2024-01-06 14:36:04,19.0,30.0,11.0,2.2239800905693152,0.0,15.0,1.3,450.0,0,Emery
SC10,SC10_20240106,17,SC10_20240106143604.JPG,2024-01-06 14:36:04,SC10_20240106150604.JPG,2024-01-06 15:06:04,30.0,20.0,-10.0,-2.154434690031884,0.0,15.0,1.6,480.0,0,Emery
SC10,SC10_20240106,18,SC10_20240106150604.JPG,2024-01-06 15:06:04,SC10_20240106153604.JPG,2024-01-06 15:36:04,20.0,19.0,-1.0,-1.0,0.0,14.5,1.3,510.0,0,Emery
SC10,SC10_20240106,19,SC10_20240106153604.JPG,2024-01-06 15:36:04,SC10_20240106160604.JPG,2024-01-06 16:06:04,19.0,39.0,20.0,2.7144176165949063,0.0,13.5,0.9,540.0,0,Emery
SC10,SC10_20240106,20,SC10_20240106160604.JPG,2024-01-06 16:06:04,SC10_20240106163604.JPG,2024-01-06 16:36:04,39.0,28.0,-11.0,-2.2239800905693152,0.0,13.0,1.2,570.0,0,Emery
SC10,SC10_20240106,21,SC10_20240106163604.JPG,2024-01-06 16:36:04,SC10_20240106170604.JPG,2024-01-06 17:06:04,28.0,15.0,-13.0,-2.3513346877207573,0.0,12.5,3.0,600.0,15,Emery
SC10,SC10_20240106,22,SC10_20240106170604.JPG,2024-01-06 17:06:04,SC10_20240106173605.JPG,2024-01-06 17:36:05,15.0,0.0,-15.0,-2.46621207433047,0.0,12.0,3.7,630.0166666666667,30,Emery
SC10,SC10_20240107,2,SC10_20240107070604.JPG,2024-01-07 07:06:04,SC10_20240107073604.JPG,2024-01-07 07:36:04,10.0,10.0,0.0,0.0,0.0,5.0,1.3,30.0,0,Emery
SC10,SC10_20240107,3,SC10_20240107073604.JPG,2024-01-07 07:36:04,SC10_20240107080604.JPG,2024-01-07 08:06:04,10.0,9.0,-1.0,-1.0,0.0,5.5,1.6,60.0,0,Emery
SC10,SC10_20240107,4,SC10_20240107080604.JPG,2024-01-07 08:06:04,SC10_20240107083604.JPG,2024-01-07 08:36:04,9.0,4.0,-5.0,-1.7099759466766968,0.0,6.5,2.0,90.0,2,Emery
SC10,SC10_20240107,5,SC10_20240107083604.JPG,2024-01-07 08:36:04,SC10_20240107090604.JPG,2024-01-07 09:06:04,4.0,4.0,0.0,0.0,0.0,7.5,1.8,120.0,0,Emery
SC10,SC10_20240107,6,SC10_20240107090604.JPG,2024-01-07 09:06:04,SC10_20240107093604.JPG,2024-01-07 09:36:04,4.0,7.0,3.0,1.4422495703074083,2.0,9.0,1.6,150.0,0,Emery
SC10,SC10_20240107,7,SC10_20240107093604.JPG,2024-01-07 09:36:04,SC10_20240107100604.JPG,2024-01-07 10:06:04,7.0,3.0,-4.0,-1.5874010519681994,7.0,11.0,1.8,180.0,0,Emery
SC10,SC10_20240107,8,SC10_20240107100604.JPG,2024-01-07 10:06:04,SC10_20240107103604.JPG,2024-01-07 10:36:04,3.0,0.0,-3.0,-1.4422495703074083,3.0,12.5,2.4,210.0,8,Emery
SC10,SC10_20240107,11,SC10_20240107113604.JPG,2024-01-07 11:36:04,SC10_20240107120604.JPG,2024-01-07 12:06:04,0.0,5.0,5.0,1.7099759466766968,0.0,16.5,3.0,300.0,24,Emery
SC10,SC10_20240107,12,SC10_20240107120604.JPG,2024-01-07 12:06:04,SC10_20240107123604.JPG,2024-01-07 12:36:04,5.0,8.0,3.0,1.4422495703074083,5.0,17.0,2.8,330.0,25,Emery
