deployment_id,deployment_day_id_t,deployment_day_id_t_1,date_t,date_t_1,observation_order_t,day_sequence,window_start,window_end,lag_duration_hours,metrics_complete,temp_data_coverage,wind_data_coverage,butterfly_data_coverage,max_butterflies_t,butterflies_95th_percentile_t,butterflies_top3_mean_t,sum_butterflies_direct_sun_t,time_of_max_t,max_butterflies_t_1,butterflies_95th_percentile_t_1,butterflies_top3_mean_t_1,time_of_max_t_1,temp_max,temp_min,temp_mean,temp_at_max_count_t_1,hours_above_15C,degree_hours_above_15C,wind_avg_sustained,wind_max_gust,wind_gust_sum,wind_gust_sum_above_2ms,wind_gust_hours,wind_minutes_above_2ms,wind_gust_sd,wind_mode_gust,sum_butterflies_direct_sun,days_since_oct15_t,butterfly_diff,butterfly_diff_sqrt,butterfly_diff_sq,butterfly_diff_95th,butterfly_diff_95th_sqrt,butterfly_diff_95th_sq,butterfly_diff_top3,butterfly_diff_top3_sqrt,butterfly_diff_top3_sq,Observer,horizontal_dist_to_cluster_m,grove,view_id
SC1,SC1_20231119,SC1_20231118,2023-11-19,2023-11-18,2,3,2023-11-18 06:30:02,2023-11-19 06:30:02,24.0,0.9856853430229319,1.0,0.9993055555555556,0.9583333333333334,21.0,20.9,20.333333333333332,5.0,2023-11-19 07:30:01,56.0,55.95,55.666666666666664,2023-11-18 06:30:02,18.0,13.0,15.602076124567475,16.0,116.5,118.5,0.8557331480194579,4.9,1862.9000000000003,1299.8,31.04833333333334,455,1.2943919157654606,0.0,0.0,35,-35.0,-5.916079783099616,-1225.0,-35.050000000000004,-5.920304046246274,-1228.5025000000003,-35.33333333333333,-5.944184833375669,-1248.4444444444441,Skyler,4.2,Spring Canyon,1A
SC1,SC1_20231120,SC1_20231119,2023-11-20,2023-11-19,3,4,2023-11-19 07:30:01,2023-11-20 07:30:01,24.0,0.970962844034495,1.0,0.9986111111111111,0.9166666666666666,5.0,5.0,5.0,3.0,2023-11-20 06:30:01,21.0,20.9,20.333333333333332,2023-11-19 07:30:01,21.0,8.0,13.328125,11.0,34.0,59.5,0.8356745479833102,4.5,2101.7000000000003,865.4,35.028333333333336,498,0.8346795136839147,2.0,5.0,36,-16.0,-4.0,-256.0,-15.899999999999999,-3.987480407475377,-252.80999999999995,-15.333333333333332,-3.9157800414902435,-235.1111111111111,Skyler,4.2,Spring Canyon,1A
SC10,SC10_20240107,SC10_20240106,2024-01-07,2024-01-06,2,3,2024-01-06 16:06:04,2024-01-07 16:06:04,24.0,0.9856853430229319,1.0,0.9993055555555556,0.9583333333333334,78.0,77.0,74.66666666666667,104.0,2024-01-07 15:36:04,39.0,29.9,32.333333333333336,2024-01-06 16:06:04,19.0,5.0,11.213793103448277,13.0,14.0,33.5,1.6514246004169564,7.0,3232.6000000000004,2404.7,53.87666666666667,815,1.263766768679003,1.0,104.0,84,39.0,6.244997998398398,1521.0,47.1,6.862943974709396,2218.4100000000003,42.333333333333336,6.506407098647712,1792.1111111111113,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240108,SC10_20240107,2024-01-08,2024-01-07,3,4,2024-01-07 15:36:04,2024-01-08 15:36:04,24.0,0.970962844034495,1.0,0.9986111111111111,0.9166666666666666,130.0,127.0,128.0,176.0,2024-01-08 15:06:04,78.0,77.0,74.66666666666667,2024-01-07 15:36:04,19.0,3.0,9.048275862068966,15.0,15.0,43.0,0.7863004172461752,4.7,1597.2,959.6999999999998,26.62,437,1.0688657339437528,0.0,176.0,85,52.0,7.211102550927978,2704.0,50.0,7.0710678118654755,2500.0,53.33333333333333,7.302967433402214,2844.444444444444,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240109,SC10_20240108,2024-01-09,2024-01-08,4,5,2024-01-08 15:06:04,2024-01-09 15:06:04,24.0,0.9711878644003805,1.0,0.9993055555555556,0.9166666666666666,148.0,145.0,144.66666666666666,416.0,2024-01-09 16:36:04,130.0,127.0,128.0,2024-01-08 15:06:04,19.0,5.0,10.179310344827586,18.0,16.0,42.0,0.7550382209867964,3.7,1502.4,660.1,25.040000000000003,330,0.9130740612757239,0.0,416.0,86,18.0,4.242640687119285,324.0,18.0,4.242640687119285,324.0,16.666666666666657,4.082482904638629,277.7777777777775,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240110,SC10_20240109,2024-01-10,2024-01-09,5,6,2024-01-09 16:36:04,2024-01-10 16:36:04,24.0,0.970962844034495,1.0,0.9986111111111111,0.9166666666666666,282.0,180.0,197.0,385.0,2024-01-10 08:36:04,148.0,145.0,144.66666666666666,2024-01-09 16:36:04,18.0,6.0,11.46896551724138,13.0,12.0,23.5,1.4376216968011128,4.3,2862.1000000000004,1813.8000000000002,47.701666666666675,861,0.738868042708215,2.0,385.0,87,134.0,11.575836902790225,17956.0,35.0,5.916079783099616,1225.0,52.33333333333334,7.234178138070236,2738.7777777777787,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240111,SC10_20240110,2024-01-11,2024-01-10,6,7,2024-01-10 08:36:04,2024-01-11 08:36:04,24.0,0.970962844034495,1.0,0.9986111111111111,0.9166666666666666,306.0,220.0,245.66666666666666,456.0,2024-01-11 14:36:04,282.0,180.0,197.0,2024-01-10 08:36:04,18.0,5.0,11.393103448275863,8.0,12.0,23.5,2.1639777468706534,7.4,4234.7,3706.8999999999996,70.57833333333333,1165,1.2530649742679887,3.0,385.0,88,24.0,4.898979485566356,576.0,40.0,6.324555320336759,1600.0,48.66666666666666,6.976149845485449,2368.4444444444434,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240112,SC10_20240111,2024-01-12,2024-01-11,7,8,2024-01-11 14:36:04,2024-01-12 14:36:04,24.0,0.970962844034495,1.0,0.9986111111111111,0.9166666666666666,770.0,476.5999999999999,548.0,387.0,2024-01-12 16:06:04,306.0,220.0,245.66666666666666,2024-01-11 14:36:04,18.0,3.0,8.917241379310346,17.0,14.0,30.0,0.8073713490959666,4.1,1635.8000000000002,578.4000000000001,27.263333333333335,318,0.8337655873740268,1.0,387.0,89,464.0,21.540659228538015,215296.0,256.5999999999999,16.018739026527648,65843.55999999995,302.33333333333337,17.387735140993303,91405.44444444447,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240113,SC10_20240112,2024-01-13,2024-01-12,8,9,2024-01-12 16:06:04,2024-01-13 16:06:04,24.0,0.9856853430229319,1.0,0.9993055555555556,0.9583333333333334,497.0,420.55,443.3333333333333,1122.0,2024-01-13 14:36:04,770.0,476.5999999999999,548.0,2024-01-12 16:06:04,21.0,5.0,10.63448275862069,13.0,16.0,45.0,0.7761640027797082,3.2,1590.8,740.1999999999999,26.513333333333332,445,0.9917555239049745,0.0,1122.0,90,-273.0,-16.522711641858304,-74529.0,-56.0499999999999,-7.48665479369791,-3141.6024999999886,-104.66666666666669,-10.230672835481872,-10955.111111111115,Emery,7.5,Spring Canyon,2A
SC10,SC10_20240114,SC10_20240113,2024-01-14,2024-01-13,9,10,2024-01-13 14:36:04,2024-01-14 14:36:04,24.0,0.9856853430229319,1.0,0.9993055555555556,0.9583333333333334,500.0,499.0,499.0,0.0,2024-01-14 08:06:04,497.0,420.55,443.3333333333333,2024-01-13 14:36:04,19.0,8.0,11.248275862068965,19.0,4.0,10.5,0.4501042390548991,2.6,947.1999999999999,90.60000000000004,15.786666666666665,66,0.6370349849502737,0.0,42.0,91,3.0,1.7320508075688772,9.0,78.44999999999999,8.857200460642177,6154.402499999998,55.666666666666686,7.461009761866465,3098.77777777778,Emery,7.5,Spring Canyon,2A
