deployment_id,observation_order,previous_day_maximum_bi,delta_bi,window_duration_hours,minimum_temperature_c,maximum_temperature_c,temperature_at_previous_day_maximum_c,maximum_wind_gust_m_s,cumulative_sun_exposed_bi
SC1,2,56.0,-35.0,34.499722222222225,11.0,21.0,16.0,4.9,5.0
SC1,3,21.0,-16.0,33.5,8.0,21.0,11.0,6.3,8.0
SC10,2,39.0,39.0,25.0,5.0,19.0,13.0,7.0,104.0
SC10,3,78.0,52.0,25.5,3.0,19.0,15.0,4.7,176.0
SC10,4,130.0,18.0,26.0,5.0,19.0,18.0,3.8,416.0
SC10,5,148.0,134.0,24.5,6.0,18.0,13.0,4.3,385.0
SC10,6,282.0,24.0,32.5,5.0,18.0,8.0,7.4,841.0
SC10,7,306.0,464.0,27.0,3.0,18.0,17.0,4.1,387.0
SC10,8,770.0,-273.0,25.5,5.0,21.0,13.0,3.2,1122.0
SC10,9,497.0,3.0,26.5,8.0,19.0,19.0,2.6,42.0
SC10,10,500.0,-103.0,33.333333333333336,6.0,20.0,10.0,2.2,373.0
SC10,11,397.0,-318.0,33.0,7.0,20.0,9.0,2.2,518.0
SC10,12,79.0,-74.0,34.0,8.0,24.0,8.0,2.6,147.0
SC10,13,5.0,0.0,25.0,6.0,19.0,12.0,4.1,14.0
SC10,14,5.0,-5.0,33.0,8.0,20.0,9.0,5.5,14.0
SC10,17,0.0,4.0,34.5,12.0,23.0,13.0,7.2,0.0
SC10,18,4.0,353.0,28.5,11.0,20.0,14.0,3.8,265.0
SC10,19,357.0,-48.0,25.0,11.0,14.0,14.0,3.8,12.0
SC10,20,309.0,-39.0,25.0,11.0,20.0,14.0,3.2,406.0
SC10,21,270.0,-133.0,31.5,6.0,24.0,13.0,3.2,572.0
SC10,22,137.0,-137.0,31.899166666666662,9.0,28.0,15.0,2.4,142.0
SC12,2,37.0,122.0,34.000277777777775,12.0,29.0,15.0,5.1,189.0
SC12,3,159.0,-16.0,24.5,8.0,19.0,16.0,3.4,611.0
SC12,4,143.0,6.0,31.0,8.0,19.0,14.0,7.2,207.0
SC12,5,149.0,-120.0,32.0,10.0,20.0,13.0,12.8,83.0
SC12,6,29.0,6.0,26.0,6.0,16.0,15.0,5.5,208.0
SC12,7,35.0,-9.0,33.5,5.0,16.0,8.0,4.1,224.0
SC4,2,569.0,-376.0,31.5,10.0,30.0,19.0,2.6,409.0
SC4,3,193.0,-187.0,34.0,9.0,30.0,13.0,3.2,104.0
SC4,4,6.0,178.0,25.5,9.0,20.0,18.0,4.3,80.0
SC4,5,184.0,153.0,25.0,9.0,20.0,14.0,4.1,547.0
SC4,6,337.0,-80.0,26.0,4.0,26.0,19.0,3.8,201.0
SC4,7,257.0,-229.0,33.5,6.0,26.0,8.0,2.0,218.0
SC4,8,28.0,9.0,26.0,7.0,23.0,20.0,3.2,16.0
SC4,9,37.0,17.0,24.0,5.0,23.0,13.0,2.8,82.0
SC4,10,54.0,-36.0,32.5,4.0,23.0,8.0,2.8,91.0
SC4,11,18.0,-13.0,26.0,6.0,28.0,19.0,4.1,2.0
SC4,12,5.0,-5.0,33.833333333333336,6.0,32.0,7.0,4.1,2.0
SC4,13,0.0,150.0,33.833333333333336,7.0,32.0,8.0,4.1,2.0
SC4,14,150.0,-15.0,24.5,10.0,30.0,17.0,3.4,48.0
SC4,15,135.0,-127.0,33.0,13.0,30.0,14.0,4.5,48.0
SC4,16,8.0,-8.0,33.5,13.0,23.0,17.0,7.4,0.0
SC4,18,0.0,4.0,34.0,11.0,22.0,13.0,5.9,3.0
SC4,19,4.0,127.0,27.5,11.0,23.0,17.0,6.2,80.0
SC4,20,131.0,77.0,24.5,12.0,16.0,16.0,3.2,0.0
SC4,21,208.0,114.0,30.5,7.0,21.0,15.0,3.2,48.0
SC4,22,322.0,-88.0,24.5,6.0,21.0,14.0,2.8,40.0
