deployment_key,season,deployment_id,camera_name,wind_sensor_name,start_time_recorded,end_time_recorded,boundary_basis,photo_count_for_interval,notes,wind_status,wind_record_count,first_wind_timestamp,last_wind_timestamp,conflicting_timestamp_record_count
2023-2024/SC3,2023-2024,SC3,ECHO,,2023-11-19T15:40:01.032,2023-12-03T08:55:00.000,first_season_deployment_geopackage,,Makeshift camera to catch butterflies during launch. Got two launches on camera including one boost back ,no_assigned_sensor,0,,,0
2023-2024/SLC6_1,2023-2024,SLC6_1,NOVA,OakTrust,2023-12-03T11:20:00.603,2023-12-20T12:20:00.555,first_season_deployment_geopackage,,"Not much activity when setting up, but easy spot and a few sunners. 

Ultimately fell down. Deleted all the photos while on the ground. End time is last good photo",records_available,24515,2023-12-03T11:21:00,2023-12-20T12:19:00,0
2023-2024/SLC6_2,2023-2024,SLC6_2,WASP,MoonTide,2023-12-03T13:02:00.913,2024-01-05T13:02:00.942,first_season_deployment_geopackage,,Hoping butterflies show up,records_available,47473,2023-12-03T13:03:00,2024-01-05T13:02:00,0
2023-2024/SC4,2023-2024,SC4,ZEST,StarDust,2023-12-03T14:30:00.855,2024-01-05T14:30:00.003,first_season_deployment_geopackage,,Guess on count. Check end time,records_available,47473,2023-12-03T14:31:00,2024-01-05T14:30:00,0
2023-2024/SC5,2023-2024,SC5,APEX,PugSnore,2023-12-03T16:30:00.183,2024-01-31T19:40:00.314,first_season_deployment_geopackage,,"No monarchs here, but usually a reliable site.

This pole ultimately was hit by a large fallen tree.",records_available,85053,2023-12-03T16:31:00,2024-01-31T19:27:00,0
2023-2024/SC6,2023-2024,SC6,EM03,BlueLake,2023-12-15T13:20:00.661,2024-01-05T14:10:00.150,first_season_deployment_geopackage,,,records_available,30260,2023-12-15T13:21:00,2024-01-05T14:10:00,0
2023-2024/SC7,2023-2024,SC7,IRIS,FunStorm,2023-12-15T14:45:00.707,2024-01-05T16:25:00.650,first_season_deployment_geopackage,,,records_available,30310,2023-12-15T14:46:00,2024-01-05T16:25:00,0
2023-2024/TGR1,2023-2024,TGR1,ZEST,JoyHouse,2023-12-15T16:34:52.663,2024-01-05T08:10:01.412,first_season_deployment_geopackage,,Forgot to set date on images. ,records_available,29707,2023-12-15T16:35:00,2024-01-05T08:10:00,0
2023-2024/SC1,2023-2024,SC1,EM03,JazzPlay,2023-11-17T11:40:00.000,2023-12-15T11:00:00.000,first_season_deployment_geopackage,,Location and height estimated after deployment,records_available,40241,2023-11-17T11:40:00,2023-12-15T11:00:00,0
2023-2024/SC2,2023-2024,SC2,LYNX,FoxTrail,2023-11-17T14:00:00.000,2023-11-19T13:10:00.583,first_season_deployment_geopackage,,Location and heights taken after deployment,records_available,2829,2023-11-17T14:00:00,2023-11-19T13:10:00,0
2023-2024/UDMH1,2023-2024,UDMH1,LUNA,SunRuler,2024-01-05T10:50:00.969,2024-01-18T14:30:00.334,first_season_deployment_geopackage,,Wind data is corrupted. ,records_available,18922,2024-01-05T10:51:00,2024-01-18T14:30:00,0
2023-2024/UDMH2,2023-2024,UDMH2,GOLD,JoyHouse,2024-01-05T12:20:00.545,2024-01-06T04:00:00.857,first_season_deployment_geopackage,,Fell over early on.,records_available,939,2024-01-05T12:21:00,2024-01-06T04:00:00,0
2023-2024/SC8,2023-2024,SC8,EM03,BlueLake,2024-01-05T15:30:00.808,2024-01-27T11:40:00.000,first_season_deployment_geopackage,,"Tilted up from SC6 to get the upper branches over road.

Two clips seized causing it to tilt but not fall.",records_available,31419,2024-01-05T15:31:00,2024-01-27T11:40:00,0
2023-2024/SC9,2023-2024,SC9,WASP,StarDust,2024-01-05T16:02:00.252,2024-01-31T20:30:00.000,first_season_deployment_geopackage,,"Checking to see if clusters reform on this sunny side

This camera also fell and was damaged duringa storm",records_available,31550,2024-01-05T16:03:00,2024-01-29T14:35:00,0
2023-2024/SC10,2023-2024,SC10,JINX,StarDust,2024-01-05T16:06:04.149,2024-01-31T20:30:00.000,first_season_deployment_geopackage,,"Swapped cameras from SC4

This camera fell during a storm and was destroyed on impact.",records_available,31546,2024-01-05T16:07:00,2024-01-29T14:35:00,0
2023-2024/SC11,2023-2024,SC11,IRIS,FunStorm,2024-01-05T16:45:00.444,2024-02-05T14:05:00.373,first_season_deployment_geopackage,,Last camera to survive Spring Canyon. Only one that didn’t get knocked down,records_available,44436,2024-01-05T16:46:00,2024-02-05T14:05:00,0
2023-2024/UDMH3,2023-2024,UDMH3,GOLD,TreeTalk,2024-01-18T15:10:00.339,2024-01-31T19:40:00.000,first_season_deployment_geopackage,,,records_available,18971,2024-01-18T15:11:00,2024-01-31T19:40:00,0
2023-2024/UDMH4,2023-2024,UDMH4,LUNA,MoonTide,2024-01-18T15:50:00.719,2024-01-22T03:20:00.986,first_season_deployment_geopackage,,"Setup with Ray!

Unfortunately fell a few days later. Popped ground anchor.",records_available,5005,2024-01-18T15:51:00,2024-01-22T03:20:00,0
