source_database,sha256,size_bytes,wind_sensor_name,sensor_match_basis,source_rows,matched_source_rows,excluded_source_rows,first_timestamp_raw,last_timestamp_raw,units_table,log_interval_table
repository/data/wind/BlueLake.s3db,fc89264d755d916d0b604e8739cdaf08013668020417e4304aceed74b8e0a3c8,5539840,BlueLake,exact_case_insensitive_filename,73182,72967,215,2008-01-01 00:01:00,2024-07-09 10:17:00,[[2]],[[1]]
repository/data/wind/FoxTrail.s3db,a1839a6eec9cc6fb74c48f36436b89f421079b98de7d5504b79e77fdd77e9140,232448,FoxTrail,exact_case_insensitive_filename,3059,2829,230,2008-01-01 00:01:00,2023-11-19 14:00:00,[[2]],[[1]]
repository/data/wind/FunStorm.s3db,8bb84132578c83c3dfa4b29f5005ca500cb08d5afde87d85ed69cfb57e6c50cb,5706752,FunStorm,exact_case_insensitive_filename,74841,74746,95,2023-12-15 14:05:00,2024-02-05 16:05:00,[[2]],[[1]]
repository/data/wind/JazzPlay.s3db,a2fe1caf9a3b5c7948edffa2f4e19c9caf65af175addfb70684fe19d4e8f5eab,3033088,JazzPlay,exact_case_insensitive_filename,40314,40241,73,2023-11-17 10:43:00,2023-12-15 12:23:00,[[2]],[[1]]
repository/data/wind/JoyHouse.s3db,b3bfd73b3af31e7600d83d2b1f652743ffce70307866d7a2e19e5a0b39492b71,13694976,JoyHouse,exact_case_insensitive_filename,180009,179655,354,2008-01-01 00:01:00,2025-07-23 12:13:00,[[2]],[[1]]
repository/data/wind/MoonTide.s3db,b8b82b1580e381f2eb6ae7641299faf5e91c5d692fe39d9b457dd653ff20a0bf,5501952,MoonTide,exact_case_insensitive_filename,72617,52478,20139,2023-12-02 16:07:00,2024-01-27 11:33:00,[[2]],[[1]]
repository/data/wind/OakTrust.s3db,1930ab9a62fd880ffaa1686ea6a1eba0fac8b960e5290ea3bdc3d573c1703a95,1928192,OakTrust,exact_case_insensitive_filename,25688,24515,1173,2008-01-01 00:01:00,2024-01-05 14:18:00,[[2]],[[1]]
repository/data/wind/PugSnore.s3db,0c9ba052360b391d98c63575a97ab72f0fff44a72b5fc23a0cec0e5b26df4d15,6554624,PugSnore,exact_case_insensitive_filename,86525,85053,1472,2008-01-01 00:01:00,2024-02-05 13:44:00,[[2]],[[1]]
repository/data/wind/StarDust.s3db,91c11d277c57984c5d847b70371750abb21af9145aa7a1676d0cf28d2ab5eb60,6581248,StarDust,exact_case_insensitive_filename,86783,79023,7760,2008-01-01 00:01:00,2024-03-14 13:21:00,[[2]],[[1]]
repository/data/wind/SunRuler.s3db,47539df202558475563fb46807be8cef56b83b9b68012dbd6311d931723f96e9,1416192,SunRuler,exact_case_insensitive_filename,18978,18922,56,2024-01-05 10:41:00,2024-01-18 15:20:00,[[2]],[[1]]
repository/data/wind/TreeTalk.s3db,5f66454d7f3a07fffb2f71f0d12566814019b46b1162b23ca915d16346a833ed,1418240,TreeTalk,exact_case_insensitive_filename,19017,18971,46,2008-01-01 00:01:00,2024-02-05 16:09:00,[[2]],[[1]]
portable/raw/WindLog_laptop/BLEA 1.s3db,73b038ce2237453559a113867f171fc8d86262b9b93866dffc55108a2f5048a9,2822144,,not_a_study_sensor_filename,37615,0,37615,2008-01-01 00:01:00,2024-03-14 15:27:00,[[2]],[[1]]
portable/raw/WindLog_laptop/BLEA 2.s3db,5a4fa10198c21c74e3ba38940a84db757232e9652b7822f8042ccd6216a28053,9713664,,not_a_study_sensor_filename,127660,0,127660,2008-01-01 00:01:00,2024-03-14 13:40:00,[[2]],[[1]]
portable/raw/WindLog_laptop/BLEA 4.s3db,d5f183df59b6d95f0a2086eb619dc6e335da7cd5eb258ede3989c1f53dd005d2,11441152,,not_a_study_sensor_filename,149104,0,149104,2008-01-01 00:01:00,2024-04-02 11:12:00,[[2]],[[1]]
portable/raw/WindLog_laptop/BLEA 5.s3db,3a7213a14d35896a561c3812f2f562c2a0df0b720309006082349443d37d8ee3,11401216,,not_a_study_sensor_filename,149093,0,149093,2023-10-05 14:17:00,2024-03-14 15:40:00,[[2]],[[1]]
portable/raw/WindLog_laptop/BarkRoar.s3db,a82a168103b03f686352272a6bedf882eb05a3f627453c7536fcd448af09301f,28672,BarkRoar,exact_case_insensitive_filename,303,0,303,2023-09-22 12:32:00,2024-09-18 16:24:00,[[2]],[[1]]
portable/raw/WindLog_laptop/BeeSwarm.s3db,aba94f2d0093a2a904bad3ef49c02f0d0441de1bfba873e78fa055cd41daec3b,19206144,,not_a_study_sensor_filename,251010,0,251010,2023-10-10 22:17:00,2024-04-09 11:30:00,[[2]],[[1]]
portable/raw/WindLog_laptop/BlueLake.s3db,fc89264d755d916d0b604e8739cdaf08013668020417e4304aceed74b8e0a3c8,5539840,BlueLake,exact_case_insensitive_filename,73182,72967,215,2008-01-01 00:01:00,2024-07-09 10:17:00,[[2]],[[1]]
portable/raw/WindLog_laptop/DiveDeep.s3db,832297b3761a984a4d466475004848a653d41b39341c296cd6e38e3abfad151e,17988608,,not_a_study_sensor_filename,235363,0,235363,2008-01-01 00:01:00,2024-04-09 11:53:00,[[2]],[[1]]
portable/raw/WindLog_laptop/DotSpace.s3db,8defc4703f9d6706d29ca20c034f19e5f838c75e90fed8b47504dbd7a5c39d17,10628096,,not_a_study_sensor_filename,138557,0,138557,2008-01-01 00:01:00,2024-04-09 11:54:00,[[2]],[[1]]
portable/raw/WindLog_laptop/DrumRoll.s3db,1a57b884ac4c5f32c47906fc2092a5473b439ece47895174c57b5249c1f9a911,11369472,,not_a_study_sensor_filename,149088,0,149088,2024-10-15 11:51:00,2025-02-11 14:25:00,[[2]],[[1]]
portable/raw/WindLog_laptop/DrumRoll2min.s3db,ef3ff0ca37fae0cde94c5a2e0214c64202a74aa481c5d54f85ec9c3fb310201b,1436672,,not_a_study_sensor_filename,19247,0,19247,2024-09-18 17:40:00,2024-10-15 11:50:00,[[2]],[[2]]
portable/raw/WindLog_laptop/FireSong.s3db,7f587e47a4313029203518fa56b932c3f849c01724932c8923b513d7a061cd04,5693440,,not_a_study_sensor_filename,74771,0,74771,2023-10-10 21:51:00,2024-01-02 11:21:00,[[2]],[[1]]
portable/raw/WindLog_laptop/FoxTrail.s3db,a1839a6eec9cc6fb74c48f36436b89f421079b98de7d5504b79e77fdd77e9140,232448,FoxTrail,exact_case_insensitive_filename,3059,2829,230,2008-01-01 00:01:00,2023-11-19 14:00:00,[[2]],[[1]]
portable/raw/WindLog_laptop/FunStorm.s3db,8bb84132578c83c3dfa4b29f5005ca500cb08d5afde87d85ed69cfb57e6c50cb,5706752,FunStorm,exact_case_insensitive_filename,74841,74746,95,2023-12-15 14:05:00,2024-02-05 16:05:00,[[2]],[[1]]
portable/raw/WindLog_laptop/GemShine.s3db,720776a990ace2631e78c00e93460e894b814fa32cdf450fd1a470a4fde6fbb1,10143744,,not_a_study_sensor_filename,133703,0,133703,2024-10-14 13:25:00,2025-01-15 12:00:00,[[2]],[[1]]
