File Name,Field,description,units,Minimum,Maximum
deployments.csv,deployment_id,"Unique identifier for an uninterrupted monitoring period with a fixed camera location and view, linking photographs and associated sensor observations. Missing values are represented by NULL.",identifier,N/A,N/A
deployments.csv,camera_id,Unique identifier for an individual camera. Missing values are represented by NULL.,identifier,N/A,N/A
deployments.csv,wind_sensor_id,Unique identifier for an individual wind sensor. Missing values are represented by NULL.,identifier,N/A,N/A
deployments.csv,start_time,"Deployment start in local device time, formatted as YYYY-MM-DD HH:MM:SS. Missing values are represented by NULL.",recorded clock,2023-11-17 11:40:00,2024-11-17 13:30:01
deployments.csv,end_time,"Deployment end in local device time, formatted as YYYY-MM-DD HH:MM:SS. Missing values are represented by NULL.",recorded clock,2023-11-19 13:10:00,2025-04-11 14:10:01
deployments.csv,latitude,"Approximate camera latitude in WGS84, EPSG 4326. Locations were recorded with a cellphone under canopy, with some points adjusted against satellite imagery. Missing values are represented by NULL.",decimal degrees,34.58434444,34.88680926
deployments.csv,longitude,"Approximate camera longitude in WGS84, EPSG 4326. Locations were recorded with a cellphone under canopy, with some points adjusted against satellite imagery. Missing values are represented by NULL.",decimal degrees,-120.63312527,-120.56154322
deployments.csv,camera_height,Recorded camera height above ground. Missing values are represented by NULL.,meters,1.0,9.6
deployments.csv,horizontal_distance_to_cluster,Recorded horizontal viewing distance from camera to observed or expected butterfly clusters. Missing values are represented by NULL.,meters,4.1,33.8
deployments.csv,view_direction,Recorded camera viewing direction clockwise from north. Missing values are represented by NULL.,degrees,10,360
deployments.csv,data_quality_note,"Deployment-specific recording, coverage or timing information. Missing values are represented by NULL.",text,N/A,N/A
photo_index.csv,deployment_id,"Unique identifier for an uninterrupted monitoring period with a fixed camera location and view, linking photographs and associated sensor observations. Missing values are represented by NULL.",identifier,N/A,N/A
photo_index.csv,camera_id,Unique identifier for an individual camera. Missing values are represented by NULL.,identifier,N/A,N/A
photo_index.csv,image_filename,Photograph filename in the form deployment_id_YYYYMMDDHHMMSS.JPG. Missing values are represented by NULL.,identifier,N/A,N/A
photo_index.csv,timestamp,Observation date and time in ISO 8601 format without a UTC offset. Missing values are represented by NULL.,recorded clock,2023-11-17T11:40:01,2025-04-11T14:10:01
photo_index.csv,relative_path,"Photo path relative to the package root, grouped by deployment_id. Missing values are represented by NULL.",path,N/A,N/A
classifications.csv,deployment_id,"Unique identifier for an uninterrupted monitoring period with a fixed camera location and view, linking photographs and associated sensor observations. Missing values are represented by NULL.",identifier,N/A,N/A
classifications.csv,camera_id,Unique identifier for an individual camera. Missing values are represented by NULL.,identifier,N/A,N/A
classifications.csv,image_filename,Photograph filename in the form deployment_id_YYYYMMDDHHMMSS.JPG. Missing values are represented by NULL.,identifier,N/A,N/A
classifications.csv,timestamp,Observation date and time in ISO 8601 format without a UTC offset. Missing values are represented by NULL.,recorded clock,2023-11-17T11:40:01,2024-02-04T10:50:01
classifications.csv,record_user_id,User identifier saved in the classification JSON. Missing values are represented by NULL.,identifier,N/A,N/A
classifications.csv,cells_0,Number of image grid cells assigned to butterfly category 0. Retained primitives support alternative category mappings. Missing values are represented by NULL.,grid cells,0,720
classifications.csv,cells_1_9,Number of image grid cells assigned to butterfly category 1-9. Retained primitives support alternative category mappings. Missing values are represented by NULL.,grid cells,0,62
classifications.csv,cells_10_99,Number of image grid cells assigned to butterfly category 10-99. Retained primitives support alternative category mappings. Missing values are represented by NULL.,grid cells,0,29
classifications.csv,cells_100_999,Number of image grid cells assigned to butterfly category 100-999. Retained primitives support alternative category mappings. Missing values are represented by NULL.,grid cells,0,7
classifications.csv,sun_exposed_cells_1_9,Number of occupied grid cells in category 1-9 marked as receiving direct sunlight. Missing values are represented by NULL.,grid cells,0,46
classifications.csv,sun_exposed_cells_10_99,Number of occupied grid cells in category 10-99 marked as receiving direct sunlight. Missing values are represented by NULL.,grid cells,0,18
classifications.csv,sun_exposed_cells_100_999,Number of occupied grid cells in category 100-999 marked as receiving direct sunlight. Missing values are represented by NULL.,grid cells,0,2
classifications.csv,butterfly_index,"Butterfly Index, BI, of visible cluster size. Sum of grid-cell category lower bounds, using 0, 1, 10 and 100 for categories 0, 1-9, 10-99 and 100-999. Missing values are represented by NULL.",BI units,0,950
classifications.csv,sun_exposed_butterfly_index,BI subtotal for occupied grid cells where monarchs were observed in direct sun. Missing values are represented by NULL.,BI units,0,295
temperature_measurements.csv,deployment_id,"Unique identifier for an uninterrupted monitoring period with a fixed camera location and view, linking photographs and associated sensor observations. Missing values are represented by NULL.",identifier,N/A,N/A
temperature_measurements.csv,camera_id,Unique identifier for an individual camera. Missing values are represented by NULL.,identifier,N/A,N/A
temperature_measurements.csv,image_filename,Photograph filename in the form deployment_id_YYYYMMDDHHMMSS.JPG. Missing values are represented by NULL.,identifier,N/A,N/A
temperature_measurements.csv,timestamp,Observation date and time in ISO 8601 format without a UTC offset. Missing values are represented by NULL.,recorded clock,2023-11-17T11:40:01,2024-02-05T14:05:01
temperature_measurements.csv,temperature,Camera-overlay temperature extracted using OCR and manually reviewed. Missing values are represented by NULL.,degrees Celsius,0.0,37.0
